OBJECTID_1,Nom_du_sit,category,x,y,area,price,dist_center,price_rel,prob_destr,area2
113,"friche","friche",897301.189357,6241601.12686,0.1,2791,7679.35546875,1.75534591194969,0.454925137636657,0.578810793808776
114,"friche","friche",896872.287027,6241591.50827,0.1,2791,7386.58251953,1.75534591194969,0.471893473144508,0.987595300351952
115,"friche","friche",899255.608809,6249530.40853,0.1,2939,8325.1484375,1.84842767295597,0.417496707887408,0.4480455731756
116,"friche","friche",898124.606149,6244481.04247,0.1,2096,6992.31738281,1.31823899371069,0.494744023841686,0.853756942022708
117,"friche","friche",892125.074522,6252673.26551,0.1,1679,6095.83447266,1.0559748427673,0.546701770747631,0.406985748604643
118,"friche","friche",900042.844686,6252613.76785,0.1,2175,10469.7851563,1.36792452830189,0.293199311273385,0.187878565144473
119,"friche","friche",886976.238258,6254301.91973,0.1,1679,8901.25878906,1.0559748427673,0.384106895881687,0.926354426562001
120,"friche","friche",895718.546998,6244097.6688,0.1,2791,4949.54541016,1.75534591194969,0.613137612765482,1.68019482969769
121,"friche","friche",893234.144774,6241669.19422,0.1,4121,5256.93847656,2.59182389937107,0.595321934447664,0.879463392369307
122,"friche","friche",890514.366965,6255840.15585,0.1,1679,9259.89746094,1.0559748427673,0.363321159608023,0.459788303262845
123,"friche","friche",899609.381177,6248587.594,0.1,2939,8367.63378906,1.84842767295597,0.41503437077136,0.925365616175653
124,"friche","friche",902906.795799,6245824.4518,0.1,2473,11456.5830078,1.55534591194969,0.236007152410046,2.14610937153635
125,"friche","friche",898953.905775,6250419.49028,0.1,2175,8385.5234375,1.36792452830189,0.413997534691879,1.04816263322189
126,"friche","friche",897464.032672,6248934.06859,0.1,2939,6429.31542969,1.84842767295597,0.527374108204217,3.01089861040911
127,"friche","friche",893738.786216,6248462.71416,0.1,1628,2942.44799805,1.02389937106918,0.729463599767889,0.630720857354491
128,"friche","friche",896488.448738,6248556.28103,0.1,2939,5376.11376953,1.84842767295597,0.588414853855864,1.07417105171197
129,"friche","friche",892584.506651,6252745.95311,0.1,1679,6219.84716797,1.0559748427673,0.539514327280401,1.16936886601075
130,"friche","friche",898797.998941,6249686.68796,0.1,2939,7933.8515625,1.84842767295597,0.44017522609021,0.943063531525621
131,"friche","friche",894752.315251,6249762.87518,0.1,2175,4540.41845703,1.36792452830189,0.636849514512245,2.00497840974005
132,"friche","friche",898623.235333,6252399.04491,0.1,2175,9192.58984375,1.36792452830189,0.36722212871653,0.355451739468082
133,"friche","friche",893063.581859,6243721.4099,0.1,4121,3316.05175781,2.59182389937107,0.707810527107004,2.56531719326522
134,"friche","friche",898135.828325,6253977.6403,0.1,2175,9918.57324219,1.36792452830189,0.325146076572098,1.25660884708703
135,"friche","friche",893879.117507,6247855.60544,0.1,2674,2696.83154297,1.68176100628931,0.743698871254377,0.428626733794115
136,"friche","friche",902162.415869,6248296.57927,0.1,2473,10811.3271484,1.55534591194969,0.273404452740817,0.503761315072968
137,"friche","friche",897023.281028,6251021.45205,0.1,2175,7088.765625,1.36792452830189,0.489154142204798,1.38245077767725
138,"friche","friche",900263.76519,6246510.95303,0.1,2473,8790.81933594,1.55534591194969,0.390507670607755,1.20484024742751
139,"friche","friche",894787.053053,6242669.58301,0.1,2791,5174.02148438,1.75534591194969,0.600127581097604,1.89823918107296
140,"friche","friche",895881.163532,6251977.73514,0.1,2175,6948.74072266,1.36792452830189,0.497269610278912,0.479251955782144
141,"friche","friche",892376.018283,6245923.75397,0.1,3537,1134.06347656,2.22452830188679,0.834272720178768,0.510051747064234
142,"friche","friche",893964.093405,6253170.3156,0.1,1590,6997.97851563,1,0.494415919755225,0.64160942380552
143,"friche","friche",895746.500051,6243692.59377,0.1,2791,5183.84033203,1.75534591194969,0.599558507002235,1.04771477562726
144,"friche","friche",895396.951303,6247783.14894,0.1,2377,4100.46337891,1.49496855345912,0.662348131764324,0.364053687024375
145,"friche","friche",900442.879032,6253201.22073,0.1,2175,11118.7138672,1.36792452830189,0.255589142312884,1.41489001586322
146,"friche","friche",898313.753049,6247596.15307,0.1,2939,6911.2734375,1.84842767295597,0.499441113714789,0.36495148260119
147,"friche","friche",893875.666777,6244034.64704,0.1,4121,3523.69116211,2.59182389937107,0.695776303705561,0.822148313694016
148,"friche","friche",897509.64128,6245043.84357,0.1,2096,6228.52294922,1.31823899371069,0.539011502250169,1.0225683708155
149,"friche","friche",903115.702911,6248328.97885,0.1,2473,11764.9355469,1.55534591194969,0.218135865625914,2.57264035640805
150,"friche","friche",891803.344793,6255268.33381,0.1,1679,8646.29980469,1.0559748427673,0.398883635327927,0.205890204498551
151,"friche","friche",900202.67952,6246895.04222,0.1,2473,8734.17382813,1.55534591194969,0.393790692430958,1.01736557835052
