troncon_id,delta_ECA,ratio_delta_cost
5073,0.018871,0.001348
5074,0.018871,0.001258
5075,0.083548,0.004642
5079,0.012331,0.000771
5097,0.032337,0.000622
5098,0.044504,0.000489
5099,0.035837,0.000398
5115,0.041310,0.001087
5116,0.097881,0.004894
5117,0.055831,0.003284
5121,0.052269,0.002904
5122,0.163761,0.008188
5123,0.049507,0.001269
5126,0.031479,0.000828
5127,0.050723,0.002670
5128,4.157630,0.197982
5130,4.157630,0.230979
5131,0.330391,0.030036
5132,2.165330,0.113965
5139,4.551890,0.032747
5143,0.034771,0.001580
5145,0.015850,0.001132
5146,0.015850,0.001219
5147,1.211640,0.075728
5148,0.090043,0.003335
5149,0.482199,0.034443
5150,0.247876,0.007996
5151,4.326680,0.480742
5157,0.342412,0.006714
5158,2.759360,0.110374
5159,0.311847,0.009745
5162,2.209350,0.018723
5172,0.084181,0.002405
5180,0.054062,0.001864
5181,0.014925,0.000364
5187,0.055633,0.001987
5188,0.029819,0.000648
5193,1.502240,0.023845
5195,0.964600,0.038584
5197,0.015692,0.000872
5200,0.080471,0.002175
5201,0.146548,0.002617
5202,0.093286,0.001413
5203,0.085050,0.002299
5204,0.235594,0.004808
5207,0.044933,0.001498
5208,0.163749,0.009097
5213,0.107797,0.003593
5214,5.126600,0.165374
5215,0.908823,0.027540
5216,0.604929,0.027497
5218,0.025295,0.001054
5221,0.391143,0.005838
5229,0.045295,0.001618
5230,0.022732,0.000598
5233,26.814400,1.675900
5234,71.804300,2.991850
5237,0.133237,0.002019
5244,18.020800,0.581318
5245,0.125731,0.009672
5246,0.033933,0.002828
5247,0.099057,0.003002
5251,5.100320,0.062199
5263,0.678279,0.016149
5264,43.025300,0.651898
5266,0.485019,0.026946
5270,0.046313,0.001362
5271,0.050365,0.002190
5274,0.020033,0.000742
5280,0.088707,0.003059
5281,0.058077,0.002766
5282,0.713319,0.027435
5283,3.208510,0.160425
5286,0.146232,0.003323
5287,0.265908,0.005658
5288,0.085682,0.007140
5289,0.116516,0.002427
5291,0.074183,0.002748
5292,0.049125,0.002456
5293,0.018549,0.000431
5294,1.125280,0.030413
5295,1.602070,0.080103
5296,0.401958,0.028711
5301,90.719600,1.564130
5306,71.303800,1.208540
5320,0.038360,0.002398
5322,0.025791,0.000992
5323,0.086711,0.002065
5324,0.020803,0.001387
5326,0.145298,0.002076
5327,0.139682,0.005820
5331,0.222012,0.005163
5332,0.152016,0.012668
5335,0.017755,0.000772
5341,0.062541,0.001564
5342,0.212816,0.017735
5343,0.356701,0.016986
5344,0.066328,0.006633
5345,0.044719,0.002631
5347,0.025918,0.000518
5356,0.031296,0.001252
5379,0.366649,0.014666
5394,0.590958,0.014414
5395,1.565290,0.048915
5401,0.016036,0.001604
5403,0.611465,0.020382
5407,36.470200,0.528554
5412,14.077100,0.612046
5413,1.266080,0.017109
5421,0.031624,0.003162
5427,0.063178,0.002632
5429,0.085477,0.006105
5430,0.014195,0.001183
