from,to,from_x,from_y,to_x,to_y
164,176,894740.5409,6251293.16,895189.3055,6244277.833
164,175,894740.5409,6251293.16,894474.0396,6248609.383
164,174,894740.5409,6251293.16,895066.1113,6243303.233
164,173,894740.5409,6251293.16,897817.951,6248248.827
164,172,894740.5409,6251293.16,902428.6381,6247977.304
164,171,894740.5409,6251293.16,895931.1183,6251813.658
164,170,894740.5409,6251293.16,897221.6731,6254280.26
164,169,894740.5409,6251293.16,893041.6517,6244378.633
164,168,894740.5409,6251293.16,898248.009,6245355.938
164,167,894740.5409,6251293.16,894828.0179,6249954.883
164,166,894740.5409,6251293.16,895291.0231,6251467.41
164,165,894740.5409,6251293.16,893782.4458,6252279.328
163,196,894164.4941,6251897.209,886765.1685,6254353.526
163,195,894164.4941,6251897.209,900626.3369,6253112.184
163,194,894164.4941,6251897.209,899962.6971,6251047.65
163,193,894164.4941,6251897.209,898360.8419,6249231.89
163,192,894164.4941,6251897.209,891245.3657,6253164.735
163,189,894164.4941,6251897.209,899142.4554,6252598.436
163,188,894164.4941,6251897.209,899652.3352,6251059.146
163,186,894164.4941,6251897.209,901234.2054,6254146.527
163,185,894164.4941,6251897.209,899255.6088,6249530.409
163,184,894164.4941,6251897.209,896259.7889,6247501.291
163,182,894164.4941,6251897.209,898140.7095,6250264.237
163,181,894164.4941,6251897.209,896109.477,6249277.96
163,180,894164.4941,6251897.209,894782.8435,6252089.149
163,179,894164.4941,6251897.209,893572.6591,6250200.509
163,178,894164.4941,6251897.209,887648.8491,6254456.912
163,177,894164.4941,6251897.209,893031.9905,6248778.506
163,176,894164.4941,6251897.209,895189.3055,6244277.833
163,175,894164.4941,6251897.209,894474.0396,6248609.383
163,174,894164.4941,6251897.209,895066.1113,6243303.233
163,173,894164.4941,6251897.209,897817.951,6248248.827
163,171,894164.4941,6251897.209,895931.1183,6251813.658
163,170,894164.4941,6251897.209,897221.6731,6254280.26
163,169,894164.4941,6251897.209,893041.6517,6244378.633
163,168,894164.4941,6251897.209,898248.009,6245355.938
163,167,894164.4941,6251897.209,894828.0179,6249954.883
163,166,894164.4941,6251897.209,895291.0231,6251467.41
163,165,894164.4941,6251897.209,893782.4458,6252279.328
163,164,894164.4941,6251897.209,894740.5409,6251293.16
162,195,896776.7877,6252796.681,900626.3369,6253112.184
162,194,896776.7877,6252796.681,899962.6971,6251047.65
162,193,896776.7877,6252796.681,898360.8419,6249231.89
162,192,896776.7877,6252796.681,891245.3657,6253164.735
162,191,896776.7877,6252796.681,902518.0489,6247189.228
162,190,896776.7877,6252796.681,903115.7029,6248328.979
162,189,896776.7877,6252796.681,899142.4554,6252598.436
162,188,896776.7877,6252796.681,899652.3352,6251059.146
162,186,896776.7877,6252796.681,901234.2054,6254146.527
162,185,896776.7877,6252796.681,899255.6088,6249530.409
162,184,896776.7877,6252796.681,896259.7889,6247501.291
162,182,896776.7877,6252796.681,898140.7095,6250264.237
162,181,896776.7877,6252796.681,896109.477,6249277.96
162,180,896776.7877,6252796.681,894782.8435,6252089.149
162,179,896776.7877,6252796.681,893572.6591,6250200.509
162,177,896776.7877,6252796.681,893031.9905,6248778.506
162,176,896776.7877,6252796.681,895189.3055,6244277.833
162,175,896776.7877,6252796.681,894474.0396,6248609.383
162,173,896776.7877,6252796.681,897817.951,6248248.827
162,172,896776.7877,6252796.681,902428.6381,6247977.304
